=======[thaumcraft]=======
WARP | thaumcraft | Warp, Flux and all things bad | 1 | [None] | [None]
ENCHANTER | ttinkerer | Osmotic Enchanter | 3 | [SPELL_CLOTH] | [INFUSION]
FIRE_PERDITIO | ttinkerer | Elemental Fire: Perditio | 3 | [BRIGHT_NITOR] | [None]
SHARE_TOME | ttinkerer | Tome of Knowledge Sharing | 1 | [None] | [None]
ICHORCLOTH_HELM_GEM | ttinkerer | Cowl of the Abyssal Depths | 3 | [ICHORCLOTH_ARMOR] | [RESEARCHDUPE, KNOWFRAG, RESEARCHER2, NODEJAR, RESEARCHER1, NODETAPPER2, DECONSTRUCTOR, NODETAPPER1, THAUMONOMICON, NODEPRESERVE, NODESTABILIZER, WANDPEDFOC, VAMPBAT, ROD_bone, FOCUSEXCAVATION, SCEPTRE, ROD_quartz_staff, VISCHARGERELAY, ROD_ice, NODESTABILIZERADV, ROD_reed, ROD_greatwood_staff, ROD_silverwood_staff, FOCUSFROST, VISAMULET, FOCALMANIPULATION, FOCUSFIRE, CAP_gold, ROD_silverwood, VISPOWER, FOCUSPOUCH, CAP_copper, ROD_reed_staff, FOCUSSHOCK, CAP_silver, ROD_quartz, FOCUSWARDING, ROD_obsidian, FOCUSPORTABLEHOLE, CAP_thaumium, ROD_greatwood, ROD_blaze, ROD_bone_staff, ROD_obsidian_staff, FOCUSTRADE, ROD_ice_staff, WANDPED, ROD_blaze_staff, ALUMENTUM, ENTROPICPROCESSING, TRANSIRON, THAUMATORIUM, ALCHEMICALMANUFACTURE, TUBES, TRANSTIN, SANESOAP, TALLOW, PURESILVER, PURETIN, TRANSCOPPER, ESSENTIACRYSTAL, ARCANESPA, CENTRIFUGE, TRANSSILVER, PUREIRON, ALCHEMICALDUPLICATION, JARVOID, NITOR, PUREGOLD, DISTILESSENTIA, TUBEFILTER, PURELEAD, TRANSLEAD, TRANSGOLD, PURECOPPER, JARLABEL, RUNICEMERGENCY, GOGGLES, ELEMENTALPICK, ELEMENTALAXE, INFERNALFURNACE, ELEMENTALSHOVEL, LEVITATOR, WARDEDARCANA, FLUXSCRUB, BOOTSTRAVELLER, RESTABLE, MIRRORESSENTIA, PRIMALARROW, ARCANEEAR, RUNICCHARGED, RUNICHEALING, HOVERHARNESS, MASKGRINNINGDEVIL, ELEMENTALHOE, MIRRORHAND, ARCTABLE, INFUSION, RUNICKINETIC, PAVEWARD, MASKANGRYGHOST, MASKSIPPINGFIEND, ARCANELAMP, BELLOWS, HELMGOGGLES, RUNICARMOR, RUNICAUGMENTATION, SINSTONE, ELEMENTALSWORD, PAVETRAVEL, ARCANEBORE, INFUSIONENCHANTMENT, GOLEMCLAY, UPGRADEWATER, GOLEMTALLOW, GOLEMWOOD, GOLEMFLESH, UPGRADEEARTH, UPGRADEFIRE, UPGRADEENTROPY, COREUSE, TRAVELTRUNK, GOLEMBELL, CORESORTING, GOLEMTHAUMIUM, CORELUMBER, UPGRADEAIR, COREFISHING, COREGATHER, COREHARVEST, COREBUTCHER, COREGUARD, ADVANCEDGOLEM, COREFILL, GOLEMFETTER, GOLEMSTRAW, COREALCHEMY, GOLEMSTONE, GOLEMIRON, CORELIQUID, COREEMPTY, UPGRADEORDER, TTENCH_VALIANCE, TTENCH_SHOCKWAVE, GASEOUS_SHADOW, TTENCH_FOCUSED, FOCUS_FLIGHT, FOCUS_HEAL, FOCUS_TELEKINESIS, TTENCH_VAMPIRISM, CLEANSING_TALISMAN, XP_TALISMAN, TTENCH_QUICK_DRAW, TTENCH_POUNCE, TTENCH_DESINTEGRATE, TTENCH_ASCENT_BOOST, TTENCH_DISPERSED, TTENCH_SLOW_FALL, TTENCH_SHATTER, FOCUS_DISLOCATION, TTENCH_TUNNEL, GASEOUS_LIGHT, BLOOD_SWORD, TTENCH_FINAL, REVEALING_HELM, BRIGHT_NITOR, INFUSED_POTIONS, GAS_REMOVER, TTENCH_AUTO_SMELT, FOCUS_SMELT]
TTENCH_ASCENT_BOOST | ttinkerer | Enchantment: Ascent Boost | 2 | [ENCHANTER] | [None]
CAP_ICHOR | ttinkerer | Ichorium Wand Caps | 3 | [ICHORIUM] | [RESEARCHDUPE, KNOWFRAG, RESEARCHER2, NODEJAR, RESEARCHER1, NODETAPPER2, DECONSTRUCTOR, NODETAPPER1, THAUMONOMICON, NODEPRESERVE, NODESTABILIZER, WANDPEDFOC, VAMPBAT, ROD_bone, FOCUSEXCAVATION, SCEPTRE, ROD_quartz_staff, VISCHARGERELAY, ROD_ice, NODESTABILIZERADV, ROD_reed, ROD_greatwood_staff, ROD_silverwood_staff, FOCUSFROST, VISAMULET, FOCALMANIPULATION, FOCUSFIRE, CAP_gold, ROD_silverwood, VISPOWER, FOCUSPOUCH, CAP_copper, ROD_reed_staff, FOCUSSHOCK, CAP_silver, ROD_quartz, FOCUSWARDING, ROD_obsidian, FOCUSPORTABLEHOLE, CAP_thaumium, ROD_greatwood, ROD_blaze, ROD_bone_staff, ROD_obsidian_staff, FOCUSTRADE, ROD_ice_staff, WANDPED, ROD_blaze_staff, ALUMENTUM, ENTROPICPROCESSING, TRANSIRON, THAUMATORIUM, ALCHEMICALMANUFACTURE, TUBES, TRANSTIN, SANESOAP, TALLOW, PURESILVER, PURETIN, TRANSCOPPER, ESSENTIACRYSTAL, ARCANESPA, CENTRIFUGE, TRANSSILVER, PUREIRON, ALCHEMICALDUPLICATION, JARVOID, NITOR, PUREGOLD, DISTILESSENTIA, TUBEFILTER, PURELEAD, TRANSLEAD, TRANSGOLD, PURECOPPER, JARLABEL, RUNICEMERGENCY, GOGGLES, ELEMENTALPICK, ELEMENTALAXE, INFERNALFURNACE, ELEMENTALSHOVEL, LEVITATOR, WARDEDARCANA, FLUXSCRUB, BOOTSTRAVELLER, RESTABLE, MIRRORESSENTIA, PRIMALARROW, ARCANEEAR, RUNICCHARGED, RUNICHEALING, HOVERHARNESS, MASKGRINNINGDEVIL, ELEMENTALHOE, MIRRORHAND, ARCTABLE, INFUSION, RUNICKINETIC, PAVEWARD, MASKANGRYGHOST, MASKSIPPINGFIEND, ARCANELAMP, BELLOWS, HELMGOGGLES, RUNICARMOR, RUNICAUGMENTATION, SINSTONE, ELEMENTALSWORD, PAVETRAVEL, ARCANEBORE, INFUSIONENCHANTMENT, GOLEMCLAY, UPGRADEWATER, GOLEMTALLOW, GOLEMWOOD, GOLEMFLESH, UPGRADEEARTH, UPGRADEFIRE, UPGRADEENTROPY, COREUSE, TRAVELTRUNK, GOLEMBELL, CORESORTING, GOLEMTHAUMIUM, CORELUMBER, UPGRADEAIR, COREFISHING, COREGATHER, COREHARVEST, COREBUTCHER, COREGUARD, ADVANCEDGOLEM, COREFILL, GOLEMFETTER, GOLEMSTRAW, COREALCHEMY, GOLEMSTONE, GOLEMIRON, CORELIQUID, COREEMPTY, UPGRADEORDER, TTENCH_VALIANCE, TTENCH_SHOCKWAVE, TTENCH_ASCENT_BOOST, TTENCH_DISPERSED, TTENCH_SLOW_FALL, TTENCH_FOCUSED, TTENCH_SHATTER, FOCUS_DISLOCATION, FOCUS_FLIGHT, TTENCH_TUNNEL, FOCUS_HEAL, FOCUS_TELEKINESIS, TTENCH_VAMPIRISM, BLOOD_SWORD, TTENCH_FINAL, BRIGHT_NITOR, TTENCH_QUICK_DRAW, TTENCH_POUNCE, TTENCH_DESINTEGRATE, INFUSED_POTIONS, GAS_REMOVER, TTENCH_AUTO_SMELT, FOCUS_SMELT]
TTENCH_DISPERSED | ttinkerer | Enchantment: Dispersed Strikes | 2 | [TTENCH_VAMPIRISM] | [None]
TTENCH_SLOW_FALL | ttinkerer | Enchantment: Slow Fall | 2 | [ENCHANTER] | [None]
TTENCH_SHATTER | ttinkerer | Enchantment: Shatter | 2 | [TTENCH_DESINTEGRATE] | [None]
LEVITATOR_LOCOMOTIVE | ttinkerer | Levitational Locomotive | 3 | [MAGNETS] | [INFUSION]
ICHORCLOTH_ARMOR | ttinkerer | Ichorcloth Robes | 3 | [ICHOR_CLOTH] | [RESEARCHDUPE, KNOWFRAG, RESEARCHER2, NODEJAR, RESEARCHER1, NODETAPPER2, DECONSTRUCTOR, NODETAPPER1, THAUMONOMICON, NODEPRESERVE, NODESTABILIZER, WANDPEDFOC, VAMPBAT, ROD_bone, FOCUSEXCAVATION, SCEPTRE, ROD_quartz_staff, VISCHARGERELAY, ROD_ice, NODESTABILIZERADV, ROD_reed, ROD_greatwood_staff, ROD_silverwood_staff, FOCUSFROST, VISAMULET, FOCALMANIPULATION, FOCUSFIRE, CAP_gold, ROD_silverwood, VISPOWER, FOCUSPOUCH, CAP_copper, ROD_reed_staff, FOCUSSHOCK, CAP_silver, ROD_quartz, FOCUSWARDING, ROD_obsidian, FOCUSPORTABLEHOLE, CAP_thaumium, ROD_greatwood, ROD_blaze, ROD_bone_staff, ROD_obsidian_staff, FOCUSTRADE, ROD_ice_staff, WANDPED, ROD_blaze_staff, ALUMENTUM, ENTROPICPROCESSING, TRANSIRON, THAUMATORIUM, ALCHEMICALMANUFACTURE, TUBES, TRANSTIN, SANESOAP, TALLOW, PURESILVER, PURETIN, TRANSCOPPER, ESSENTIACRYSTAL, ARCANESPA, CENTRIFUGE, TRANSSILVER, PUREIRON, ALCHEMICALDUPLICATION, JARVOID, NITOR, PUREGOLD, DISTILESSENTIA, TUBEFILTER, PURELEAD, TRANSLEAD, TRANSGOLD, PURECOPPER, JARLABEL, RUNICEMERGENCY, GOGGLES, ELEMENTALPICK, ELEMENTALAXE, INFERNALFURNACE, ELEMENTALSHOVEL, LEVITATOR, WARDEDARCANA, FLUXSCRUB, BOOTSTRAVELLER, RESTABLE, MIRRORESSENTIA, PRIMALARROW, ARCANEEAR, RUNICCHARGED, RUNICHEALING, HOVERHARNESS, MASKGRINNINGDEVIL, ELEMENTALHOE, MIRRORHAND, ARCTABLE, INFUSION, RUNICKINETIC, PAVEWARD, MASKANGRYGHOST, MASKSIPPINGFIEND, ARCANELAMP, BELLOWS, HELMGOGGLES, RUNICARMOR, RUNICAUGMENTATION, SINSTONE, ELEMENTALSWORD, PAVETRAVEL, ARCANEBORE, INFUSIONENCHANTMENT, GOLEMCLAY, UPGRADEWATER, GOLEMTALLOW, GOLEMWOOD, GOLEMFLESH, UPGRADEEARTH, UPGRADEFIRE, UPGRADEENTROPY, COREUSE, TRAVELTRUNK, GOLEMBELL, CORESORTING, GOLEMTHAUMIUM, CORELUMBER, UPGRADEAIR, COREFISHING, COREGATHER, COREHARVEST, COREBUTCHER, COREGUARD, ADVANCEDGOLEM, COREFILL, GOLEMFETTER, GOLEMSTRAW, COREALCHEMY, GOLEMSTONE, GOLEMIRON, CORELIQUID, COREEMPTY, UPGRADEORDER, TTENCH_VAMPIRISM, TTENCH_VALIANCE, TTENCH_SHOCKWAVE, TTENCH_FINAL, TTENCH_ASCENT_BOOST, TTENCH_DISPERSED, TTENCH_SLOW_FALL, TTENCH_FOCUSED, TTENCH_SHATTER, TTENCH_QUICK_DRAW, TTENCH_POUNCE, TTENCH_DESINTEGRATE, INFUSED_POTIONS, FOCUS_FLIGHT, TTENCH_AUTO_SMELT, FOCUS_SMELT, TTENCH_TUNNEL]
ICHOR_SHOVEL_GEM | ttinkerer | Awakened Ichorium Shovel | 3 | [ICHOR_TOOLS] | [RESEARCHDUPE, KNOWFRAG, RESEARCHER2, NODEJAR, RESEARCHER1, NODETAPPER2, DECONSTRUCTOR, NODETAPPER1, THAUMONOMICON, NODEPRESERVE, NODESTABILIZER, WANDPEDFOC, VAMPBAT, ROD_bone, FOCUSEXCAVATION, SCEPTRE, ROD_quartz_staff, VISCHARGERELAY, ROD_ice, NODESTABILIZERADV, ROD_reed, ROD_greatwood_staff, ROD_silverwood_staff, FOCUSFROST, VISAMULET, FOCALMANIPULATION, FOCUSFIRE, CAP_gold, ROD_silverwood, VISPOWER, FOCUSPOUCH, CAP_copper, ROD_reed_staff, FOCUSSHOCK, CAP_silver, ROD_quartz, FOCUSWARDING, ROD_obsidian, FOCUSPORTABLEHOLE, CAP_thaumium, ROD_greatwood, ROD_blaze, ROD_bone_staff, ROD_obsidian_staff, FOCUSTRADE, ROD_ice_staff, WANDPED, ROD_blaze_staff, ALUMENTUM, ENTROPICPROCESSING, TRANSIRON, THAUMATORIUM, ALCHEMICALMANUFACTURE, TUBES, TRANSTIN, SANESOAP, TALLOW, PURESILVER, PURETIN, TRANSCOPPER, ESSENTIACRYSTAL, ARCANESPA, CENTRIFUGE, TRANSSILVER, PUREIRON, ALCHEMICALDUPLICATION, JARVOID, NITOR, PUREGOLD, DISTILESSENTIA, TUBEFILTER, PURELEAD, TRANSLEAD, TRANSGOLD, PURECOPPER, JARLABEL, RUNICEMERGENCY, GOGGLES, ELEMENTALPICK, ELEMENTALAXE, INFERNALFURNACE, ELEMENTALSHOVEL, LEVITATOR, WARDEDARCANA, FLUXSCRUB, BOOTSTRAVELLER, RESTABLE, MIRRORESSENTIA, PRIMALARROW, ARCANEEAR, RUNICCHARGED, RUNICHEALING, HOVERHARNESS, MASKGRINNINGDEVIL, ELEMENTALHOE, MIRRORHAND, ARCTABLE, INFUSION, RUNICKINETIC, PAVEWARD, MASKANGRYGHOST, MASKSIPPINGFIEND, ARCANELAMP, BELLOWS, HELMGOGGLES, RUNICARMOR, RUNICAUGMENTATION, SINSTONE, ELEMENTALSWORD, PAVETRAVEL, ARCANEBORE, INFUSIONENCHANTMENT, GOLEMCLAY, UPGRADEWATER, GOLEMTALLOW, GOLEMWOOD, GOLEMFLESH, UPGRADEEARTH, UPGRADEFIRE, UPGRADEENTROPY, COREUSE, TRAVELTRUNK, GOLEMBELL, CORESORTING, GOLEMTHAUMIUM, CORELUMBER, UPGRADEAIR, COREFISHING, COREGATHER, COREHARVEST, COREBUTCHER, COREGUARD, ADVANCEDGOLEM, COREFILL, GOLEMFETTER, GOLEMSTRAW, COREALCHEMY, GOLEMSTONE, GOLEMIRON, CORELIQUID, COREEMPTY, UPGRADEORDER, TTENCH_VAMPIRISM, TTENCH_VALIANCE, TTENCH_SHOCKWAVE, TTENCH_FINAL, TTENCH_ASCENT_BOOST, TTENCH_DISPERSED, TTENCH_SLOW_FALL, TTENCH_FOCUSED, TTENCH_SHATTER, TTENCH_QUICK_DRAW, TTENCH_POUNCE, TTENCH_DESINTEGRATE, INFUSED_POTIONS, FOCUS_FLIGHT, TTENCH_AUTO_SMELT, TTENCH_TUNNEL]
ICHOR_CLOTH | ttinkerer | Ichorcloth | 3 | [ICHOR] | [RESEARCHDUPE, KNOWFRAG, RESEARCHER2, NODEJAR, RESEARCHER1, NODETAPPER2, DECONSTRUCTOR, NODETAPPER1, THAUMONOMICON, NODEPRESERVE, NODESTABILIZER, WANDPEDFOC, VAMPBAT, ROD_bone, FOCUSEXCAVATION, SCEPTRE, ROD_quartz_staff, VISCHARGERELAY, ROD_ice, NODESTABILIZERADV, ROD_reed, ROD_greatwood_staff, ROD_silverwood_staff, FOCUSFROST, VISAMULET, FOCALMANIPULATION, FOCUSFIRE, CAP_gold, ROD_silverwood, VISPOWER, FOCUSPOUCH, CAP_copper, ROD_reed_staff, FOCUSSHOCK, CAP_silver, ROD_quartz, FOCUSWARDING, ROD_obsidian, FOCUSPORTABLEHOLE, CAP_thaumium, ROD_greatwood, ROD_blaze, ROD_bone_staff, ROD_obsidian_staff, FOCUSTRADE, ROD_ice_staff, WANDPED, ROD_blaze_staff, ALUMENTUM, ENTROPICPROCESSING, TRANSIRON, THAUMATORIUM, ALCHEMICALMANUFACTURE, TUBES, TRANSTIN, SANESOAP, TALLOW, PURESILVER, PURETIN, TRANSCOPPER, ESSENTIACRYSTAL, ARCANESPA, CENTRIFUGE, TRANSSILVER, PUREIRON, ALCHEMICALDUPLICATION, JARVOID, NITOR, PUREGOLD, DISTILESSENTIA, TUBEFILTER, PURELEAD, TRANSLEAD, TRANSGOLD, PURECOPPER, JARLABEL, RUNICEMERGENCY, GOGGLES, ELEMENTALPICK, ELEMENTALAXE, INFERNALFURNACE, ELEMENTALSHOVEL, LEVITATOR, WARDEDARCANA, FLUXSCRUB, BOOTSTRAVELLER, RESTABLE, MIRRORESSENTIA, PRIMALARROW, ARCANEEAR, RUNICCHARGED, RUNICHEALING, HOVERHARNESS, MASKGRINNINGDEVIL, ELEMENTALHOE, MIRRORHAND, ARCTABLE, INFUSION, RUNICKINETIC, PAVEWARD, MASKANGRYGHOST, MASKSIPPINGFIEND, ARCANELAMP, BELLOWS, HELMGOGGLES, RUNICARMOR, RUNICAUGMENTATION, SINSTONE, ELEMENTALSWORD, PAVETRAVEL, ARCANEBORE, INFUSIONENCHANTMENT, GOLEMCLAY, UPGRADEWATER, GOLEMTALLOW, GOLEMWOOD, GOLEMFLESH, UPGRADEEARTH, UPGRADEFIRE, UPGRADEENTROPY, COREUSE, TRAVELTRUNK, GOLEMBELL, CORESORTING, GOLEMTHAUMIUM, CORELUMBER, UPGRADEAIR, COREFISHING, COREGATHER, COREHARVEST, COREBUTCHER, COREGUARD, ADVANCEDGOLEM, COREFILL, GOLEMFETTER, GOLEMSTRAW, COREALCHEMY, GOLEMSTONE, GOLEMIRON, CORELIQUID, COREEMPTY, UPGRADEORDER, TTENCH_VALIANCE, TTENCH_SHOCKWAVE, TTENCH_ASCENT_BOOST, TTENCH_DISPERSED, TTENCH_SLOW_FALL, TTENCH_FOCUSED, TTENCH_SHATTER, FOCUS_DISLOCATION, FOCUS_FLIGHT, TTENCH_TUNNEL, FOCUS_HEAL, FOCUS_TELEKINESIS, TTENCH_VAMPIRISM, BLOOD_SWORD, TTENCH_FINAL, BRIGHT_NITOR, TTENCH_QUICK_DRAW, TTENCH_POUNCE, TTENCH_DESINTEGRATE, INFUSED_POTIONS, GAS_REMOVER, TTENCH_AUTO_SMELT, FOCUS_SMELT]
FOCUS_DISLOCATION | ttinkerer | Wand Focus: Dislocation | 2 | [FOCUS_FLIGHT] | [INFUSION]
FIRE_IGNIS | ttinkerer | Elemental Fire: Ignis | 2 | [BRIGHT_NITOR] | [None]
TTENCH_TUNNEL | ttinkerer | Enchantment: Tunnel | 2 | [TTENCH_AUTO_SMELT] | [None]
FIRE_ORDO | ttinkerer | Elemental Fire: Ordo | 2 | [BRIGHT_NITOR] | [None]
CAT_AMULET | ttinkerer | Feline Amulet | 3 | [ICHORIUM] | [RESEARCHDUPE, KNOWFRAG, RESEARCHER2, NODEJAR, RESEARCHER1, NODETAPPER2, DECONSTRUCTOR, NODETAPPER1, THAUMONOMICON, NODEPRESERVE, NODESTABILIZER, WANDPEDFOC, VAMPBAT, ROD_bone, FOCUSEXCAVATION, SCEPTRE, ROD_quartz_staff, VISCHARGERELAY, ROD_ice, NODESTABILIZERADV, ROD_reed, ROD_greatwood_staff, ROD_silverwood_staff, FOCUSFROST, VISAMULET, FOCALMANIPULATION, FOCUSFIRE, CAP_gold, ROD_silverwood, VISPOWER, FOCUSPOUCH, CAP_copper, ROD_reed_staff, FOCUSSHOCK, CAP_silver, ROD_quartz, FOCUSWARDING, ROD_obsidian, FOCUSPORTABLEHOLE, CAP_thaumium, ROD_greatwood, ROD_blaze, ROD_bone_staff, ROD_obsidian_staff, FOCUSTRADE, ROD_ice_staff, WANDPED, ROD_blaze_staff, ALUMENTUM, ENTROPICPROCESSING, TRANSIRON, THAUMATORIUM, ALCHEMICALMANUFACTURE, TUBES, TRANSTIN, SANESOAP, TALLOW, PURESILVER, PURETIN, TRANSCOPPER, ESSENTIACRYSTAL, ARCANESPA, CENTRIFUGE, TRANSSILVER, PUREIRON, ALCHEMICALDUPLICATION, JARVOID, NITOR, PUREGOLD, DISTILESSENTIA, TUBEFILTER, PURELEAD, TRANSLEAD, TRANSGOLD, PURECOPPER, JARLABEL, RUNICEMERGENCY, GOGGLES, ELEMENTALPICK, ELEMENTALAXE, INFERNALFURNACE, ELEMENTALSHOVEL, LEVITATOR, WARDEDARCANA, FLUXSCRUB, BOOTSTRAVELLER, RESTABLE, MIRRORESSENTIA, PRIMALARROW, ARCANEEAR, RUNICCHARGED, RUNICHEALING, HOVERHARNESS, MASKGRINNINGDEVIL, ELEMENTALHOE, MIRRORHAND, ARCTABLE, INFUSION, RUNICKINETIC, PAVEWARD, MASKANGRYGHOST, MASKSIPPINGFIEND, ARCANELAMP, BELLOWS, HELMGOGGLES, RUNICARMOR, RUNICAUGMENTATION, SINSTONE, ELEMENTALSWORD, PAVETRAVEL, ARCANEBORE, INFUSIONENCHANTMENT, GOLEMCLAY, UPGRADEWATER, GOLEMTALLOW, GOLEMWOOD, GOLEMFLESH, UPGRADEEARTH, UPGRADEFIRE, UPGRADEENTROPY, COREUSE, TRAVELTRUNK, GOLEMBELL, CORESORTING, GOLEMTHAUMIUM, CORELUMBER, UPGRADEAIR, COREFISHING, COREGATHER, COREHARVEST, COREBUTCHER, COREGUARD, ADVANCEDGOLEM, COREFILL, GOLEMFETTER, GOLEMSTRAW, COREALCHEMY, GOLEMSTONE, GOLEMIRON, CORELIQUID, COREEMPTY, UPGRADEORDER, TTENCH_VAMPIRISM, TTENCH_VALIANCE, TTENCH_SHOCKWAVE, TTENCH_FINAL, TTENCH_ASCENT_BOOST, TTENCH_DISPERSED, TTENCH_SLOW_FALL, TTENCH_FOCUSED, TTENCH_SHATTER, TTENCH_QUICK_DRAW, TTENCH_POUNCE, TTENCH_DESINTEGRATE, INFUSED_POTIONS, FOCUS_FLIGHT, TTENCH_AUTO_SMELT, TTENCH_TUNNEL]
GASEOUS_LIGHT | ttinkerer | Gaseous Illuminae | 1 | [NITOR] | [None]
ICHORIUM | ttinkerer | Ichorium | 3 | [ICHOR] | [ICHOR_CLOTH, RESEARCHDUPE, KNOWFRAG, RESEARCHER2, NODEJAR, RESEARCHER1, NODETAPPER2, DECONSTRUCTOR, NODETAPPER1, THAUMONOMICON, NODEPRESERVE, NODESTABILIZER, WANDPEDFOC, VAMPBAT, ROD_bone, FOCUSEXCAVATION, SCEPTRE, ROD_quartz_staff, VISCHARGERELAY, ROD_ice, NODESTABILIZERADV, ROD_reed, ROD_greatwood_staff, ROD_silverwood_staff, FOCUSFROST, VISAMULET, FOCALMANIPULATION, FOCUSFIRE, CAP_gold, ROD_silverwood, VISPOWER, FOCUSPOUCH, CAP_copper, ROD_reed_staff, FOCUSSHOCK, CAP_silver, ROD_quartz, FOCUSWARDING, ROD_obsidian, FOCUSPORTABLEHOLE, CAP_thaumium, ROD_greatwood, ROD_blaze, ROD_bone_staff, ROD_obsidian_staff, FOCUSTRADE, ROD_ice_staff, WANDPED, ROD_blaze_staff, ALUMENTUM, ENTROPICPROCESSING, TRANSIRON, THAUMATORIUM, ALCHEMICALMANUFACTURE, TUBES, TRANSTIN, SANESOAP, TALLOW, PURESILVER, PURETIN, TRANSCOPPER, ESSENTIACRYSTAL, ARCANESPA, CENTRIFUGE, TRANSSILVER, PUREIRON, ALCHEMICALDUPLICATION, JARVOID, NITOR, PUREGOLD, DISTILESSENTIA, TUBEFILTER, PURELEAD, TRANSLEAD, TRANSGOLD, PURECOPPER, JARLABEL, RUNICEMERGENCY, GOGGLES, ELEMENTALPICK, ELEMENTALAXE, INFERNALFURNACE, ELEMENTALSHOVEL, LEVITATOR, WARDEDARCANA, FLUXSCRUB, BOOTSTRAVELLER, RESTABLE, MIRRORESSENTIA, PRIMALARROW, ARCANEEAR, RUNICCHARGED, RUNICHEALING, HOVERHARNESS, MASKGRINNINGDEVIL, ELEMENTALHOE, MIRRORHAND, ARCTABLE, INFUSION, RUNICKINETIC, PAVEWARD, MASKANGRYGHOST, MASKSIPPINGFIEND, ARCANELAMP, BELLOWS, HELMGOGGLES, RUNICARMOR, RUNICAUGMENTATION, SINSTONE, ELEMENTALSWORD, PAVETRAVEL, ARCANEBORE, INFUSIONENCHANTMENT, GOLEMCLAY, UPGRADEWATER, GOLEMTALLOW, GOLEMWOOD, GOLEMFLESH, UPGRADEEARTH, UPGRADEFIRE, UPGRADEENTROPY, COREUSE, TRAVELTRUNK, GOLEMBELL, CORESORTING, GOLEMTHAUMIUM, CORELUMBER, UPGRADEAIR, COREFISHING, COREGATHER, COREHARVEST, COREBUTCHER, COREGUARD, ADVANCEDGOLEM, COREFILL, GOLEMFETTER, GOLEMSTRAW, COREALCHEMY, GOLEMSTONE, GOLEMIRON, CORELIQUID, COREEMPTY, UPGRADEORDER, TTENCH_VALIANCE, TTENCH_SHOCKWAVE, TTENCH_ASCENT_BOOST, TTENCH_DISPERSED, TTENCH_SLOW_FALL, TTENCH_FOCUSED, TTENCH_SHATTER, FOCUS_DISLOCATION, FOCUS_FLIGHT, TTENCH_TUNNEL, FOCUS_HEAL, FOCUS_TELEKINESIS, TTENCH_VAMPIRISM, BLOOD_SWORD, TTENCH_FINAL, BRIGHT_NITOR, TTENCH_QUICK_DRAW, TTENCH_POUNCE, TTENCH_DESINTEGRATE, INFUSED_POTIONS, GAS_REMOVER, TTENCH_AUTO_SMELT, FOCUS_SMELT]
BLOOD_SWORD | ttinkerer | Cursed Spirit's Blade | 3 | [CLEANSING_TALISMAN] | [INFUSION]
